timestamp,delta_time,middle_error,steering_output,full_error,derivative
0.032,0.032,-0.41657442418914425,-2.2341635035819456,-0.16409574025574333,-0.16409574025574333
0.064,0.032,0.00047233327075348297,0.35139807878820994,0.016348360094561247,0.1804441003503046
0.096,0.032,0.006431565621778246,0.3509050055988208,0.02671600942145071,0.010367649326889463
0.128,0.032,0.1290908921353344,0.9891788481110803,0.07419397102511341,0.0474779616036627
0.16,0.032,0.12376280655659788,0.5541562108747923,0.04497968991035669,-0.02921428111475672
0.192,0.032,0.1314779488822833,0.666832095872685,0.051571145975197574,0.006591456064840885
0.224,0.032,0.10507503963586408,0.30732311579538296,0.02554582926080889,-0.026025316714388683
0.256,0.032,0.12953581833666647,0.7579725100787674,0.05714476577660686,0.03159893651579797
0.28800000000000003,0.03200000000000003,0.13569064096590497,0.5465312044736574,0.04343663941302194,-0.01370812636358492
0.32,0.03199999999999997,0.13109996901161797,0.5376805085747257,0.04199620055188748,-0.0014404388611344646
0.352,0.03199999999999997,0.372678529238338,1.8323103204594517,0.13700164068253276,0.09500544013064528
0.384,0.03200000000000003,0.13208130807738114,0.7077821013194446,0.05988456770144935,-0.07711707298108342
0.41600000000000004,0.03200000000000003,0.13677042238554743,0.6354297629091801,0.0501240652629319,-0.009760502438517449
0.448,0.03199999999999997,0.12793276568753875,0.9212296500296032,0.07055284915615165,0.020428783893219747
0.48,0.03199999999999997,0.05113880827673521,0.09926129426900993,0.01135844883265435,-0.0591944003234973
0.512,0.03200000000000003,0.13522088571660726,0.954264005714596,0.07074406081881966,0.059385611986165314
0.544,0.03200000000000003,0.13265302837135295,0.7820684668743679,0.061520569564241005,-0.009223491254578657
0.5760000000000001,0.03200000000000003,0.13586255735970237,0.9441652133413999,0.07289451784424011,0.011373948279999109
0.608,0.03199999999999992,0.011931614845844195,0.26762374479260753,0.023859415446223727,-0.04903510239801639
0.64,0.03200000000000003,0.11260917793741525,0.7998088529625507,0.06012034477325275,0.036260929327029026
0.672,0.03200000000000003,0.0033772998217222764,0.1792287165897879,0.01663042139087707,-0.043489923382375686
0.704,0.03199999999999992,0.09136218028479219,0.8581091201162688,0.06398560417980957,0.0473551827889325
0.736,0.03200000000000003,0.00872172684065536,0.20762823983659656,0.018939180251028063,-0.04504642392878151
0.768,0.03200000000000003,0.04018121905125733,0.5154018804210628,0.038947421000229146,0.020008240749201083
0.8,0.03200000000000003,0.004126729524169933,0.3602515482546216,0.028705492011737162,-0.010241928988491984
0.8320000000000001,0.03200000000000003,0.052334317687035364,0.7082928395241963,0.05367805000025046,0.024972557988513295
0.864,0.03199999999999992,0.005350534100377478,0.31898394734967206,0.026523776467122194,-0.027154273533128263
0.896,0.03200000000000003,0.0030225387708717032,0.15078277737538026,0.012604035394937287,-0.013919741072184907
0.928,0.03200000000000003,0.0035338575100951337,0.5551178518550778,0.04149923023430801,0.02889519483937072
0.96,0.03199999999999992,0.00627760063352473,0.5577280722589518,0.043356956885265044,0.0018577266509570353
0.992,0.03200000000000003,0.0047707969302155885,-0.006453562180214808,0.00202582805543285,-0.04133112882983219
1.024,0.03200000000000003,0.00139677940303071,0.39937898338597105,0.02945055148068203,0.02742472342524918
1.056,0.03200000000000003,9.270895411861848e-05,0.3635357826691628,0.02839915281538731,-0.0010513986652947206
1.088,0.03200000000000003,0.002871618461559489,0.4389138524831472,0.033874931137952716,0.0054757783225654055
1.12,0.03200000000000003,0.003607221815504224,0.3991699306263303,0.03127152049721801,-0.002603410640734709
1.1520000000000001,0.03200000000000003,0.0012412679286360466,0.19617064904982484,0.016211442720539183,-0.015060077776678824
1.184,0.031999999999999806,0.0020016100009883067,0.35384495515068204,0.026924049774976515,0.010712607054437332
1.216,0.03200000000000003,0.002478603822491057,0.29807709754569334,0.023445646464858604,-0.003478403310117912
1.248,0.03200000000000003,0.002067593294554363,0.25935917879704773,0.020401322899152533,-0.0030443235657060704
