sensor_left,sensor_center,sensor_right,steering_output
298.75075730390347,300.9260048516097,298.71330162512277,0.00224734072684214
299.8462851481376,297.86424896055433,300.4115228626785,-0.03428881966026097
314.59411716026295,315.447834078526,316.0405846070751,-0.08113566966332086
301.1243403036609,301.65545622924265,300.55607613791204,0.048560524413053946
301.01326367055105,301.1109975181218,299.24623169992475,0.10033927658008965
311.2807885307498,312.38942268157535,311.3812897003259,-0.02370038988082854
310.03087318409564,309.59244801950143,308.03321974778686,0.12086421787428776
306.40994871899744,306.6697569553175,308.11449833206115,-0.1222495111469101
303.05337907688863,303.79336771773546,302.2166713269466,0.06724796112715922
298.6129301050226,299.0111461971265,300.08715156971647,-0.09682036538105251
302.0315052439067,301.318428921703,300.3246813143464,0.11715165042055674
299.74127514400624,298.73852775978577,300.60647485234136,-0.06898022179571058
302.78556132672554,298.91187767459473,299.7602809133266,0.190168821887288
297.6614720827235,299.8715032274331,299.179591419689,-0.12133996435192104
296.9747849054801,300.5252309873094,296.4291613323157,0.047918607759518755
297.33646031245763,301.4253532870655,300.75860091424045,-0.2107846718386128
301.7157085333206,302.0308634266158,299.95105215189676,0.14010078890325817
300.16464542761514,297.94424374587413,299.52605555612587,0.020668828475118063
301.44866956079284,299.19848097456156,300.1324048318681,0.07258998502059229
299.6848889949685,299.97692813170823,299.8677310876675,-0.02413317285118694
299.1468579808377,295.4330725646601,299.4105132783032,-0.013990896920940374
300.6846055021925,301.07682852789594,301.94935154332927,-0.07324820949355229
299.32303914936085,300.963972358853,297.8713871982917,0.09974657747551705
300.5828793301919,301.60890637717785,299.070582687303,0.07622127906264155
303.8080707202082,299.8650034144285,299.7858657475969,0.22620933192778866
303.602805351316,302.0420253853154,302.6860629733403,0.014782492952429609
302.4533790839402,300.81412116789926,302.3840744369783,-0.005009144962044161
300.9229057329315,302.25114351173147,302.09202511141854,-0.07084020917884118
299.90036789105926,299.51154376575374,302.2966367448921,-0.13208493744510066
299.78837348460456,300.3519469881419,299.7717547365506,0.024959813421567674
300.198676949218,299.1342857423877,297.5012883924833,0.1616771259235435
302.28461694717527,299.9719087220817,299.9292105587662,0.11435049773719584
298.1736302869024,300.5431213589351,299.79169607128233,-0.12063801094688756
301.8848378344613,300.25123177218427,297.91008057653926,0.2546660933191208
300.955142423369,300.47381593028683,300.14136400842415,0.009079132317471587
301.4758927621407,299.57459013106717,299.2618306729353,0.12470594120287615
301.29239609142786,301.3773809541867,299.33655615668573,0.09520977519247367
300.17614690413313,300.1168384617762,300.93850279227445,-0.06529975263590018
299.67799400214705,298.1324952548593,300.76783238192655,-0.05776674390535732
299.33316901182786,301.50612121947233,300.39914037866646,-0.05305989821252069
299.97611770862966,302.35846260236383,301.7745674294626,-0.0972472695815901
298.37261673002376,298.55749972862634,298.4949878637512,0.010642229184683744
297.8189435566058,298.68481352694437,300.15997783436205,-0.13923834532810078
300.06778923544556,300.78194942025306,299.6053913959913,0.05115421314481694
301.3303558226132,300.95612731161634,299.5613467120054,0.10151656824192798
299.9412907429222,298.14355997236044,300.05733180126595,-0.02465255460670278
300.00852906153574,298.39057444643424,298.8287641401108,0.07194630586893254
299.93292396217566,300.2604086638792,300.7724946467238,-0.06217189028713904
300.9201315636014,301.2166957810093,300.7570164570387,0.01818261323924446
301.13069138471764,299.0086623578327,302.1426374148455,-0.0623479128733004
300.27818331842377,300.6199139565698,301.13429881181025,-0.04124746930191009
301.77553184521093,300.49494981258124,300.807196666165,0.06666126567662105
299.8795886226426,301.0100493134748,299.4771127334891,0.01446520155875021
301.9338705263107,300.29046857802786,301.17713296222655,0.04137949495351564
300.9981990634418,298.18894552463775,298.42784942788194,0.1466536024927501
299.258612747934,298.98371793716836,296.6459033811007,0.13105906565440023
300.29618264965563,298.6986218550053,300.12096726147195,-0.015614170377311892
299.74132695206913,299.82834639973834,299.9914891089673,-0.0167618832957271
298.6888383361139,300.58943905185976,299.5293464902291,-0.047928867677929365
300.20843368672325,298.28397408236793,301.3035929429382,-0.057304473831746354
299.8785445488029,301.051468098136,299.5317572144383,0.03175883262402522
300.3354170195293,301.1353148319335,301.5251031354324,-0.07484904029783195
300.1465638692983,300.60001044254875,301.84372601575694,-0.08993286762848811
297.29745331083444,298.5410156742976,298.75938615608106,-0.07074434925021081
299.7367558289841,301.6181600302586,297.7934825174418,0.13121572714500246
299.03425316399193,299.685910290139,302.1846120305905,-0.20845426511133497
297.962937458587,299.933230538377,301.6231636641484,-0.18810998366769868
299.1759881371111,301.06692882662554,299.8688476610423,-0.004969309380257414
300.03274221655835,300.9697296738953,299.177485648768,0.05824398930673112
299.92170628956427,301.39039101889676,301.3897342347248,-0.09663424238753578
299.2674727752268,299.61449861346966,300.67808067034065,-0.06995619425522591
298.90748889266854,299.02554678453174,300.5820781974862,-0.08636927933792266
298.86748188247896,300.84978629604313,299.5838356730188,-0.02623533438421532
299.28632422450664,300.3940611075406,300.84736285667367,-0.08649878002462288
